Day	I.New	H.New	I.Total	I.Active	D.New	D.Total	R.New	R.Total	Se.ICU	Se.Int	Act.Icu	Act.Int	Icu.Int	Int.Icu	Int.Act	Icu.Act	Act.Dead	Icu.Dead	Int.Dead	Total.Icu	Total.Int	Icu.Out	Int.Out	Total.Dead	C.Icu	C.Int
302	1458	12372	2283931	97821	191	22070	8702	2164040	1069	3303	1068	1860	1443	1	1900	4	0	7	184	1069	3303	1454	2085	191	21675	35236
303	1370	10801	2296102	101587	194	22264	8211	2172251	1665	3201	458	2232	969	1207	3980	4	0	6	188	1665	3201	979	5375	194	22361	33062
304	1291	10188	2307581	102986	186	22450	9894	2182145	1060	3094	199	2145	949	861	3677	4	0	6	180	1060	3094	959	4718	186	22462	31438
305	1103	8434	2317118	104440	181	22631	7902	2190047	969	2903	189	2022	881	780	3397	4	0	6	175	969	2903	891	4352	181	22540	29989
306	1017	8121	2326256	105299	176	22807	8103	2198150	927	2811	186	1934	877	741	3085	4	0	5	171	927	2811	886	3997	176	22581	28803
307	1003	9217	2336476	105044	174	22981	10301	2208451	1030	2783	266	1876	907	764	2814	3	0	5	169	1030	2783	915	3747	174	22696	27839
308	983	8826	2346285	104669	171	23152	10013	2218464	897	2701	231	1785	916	666	2511	3	0	5	166	897	2701	924	3343	171	22669	27197
309	971	8583	2355839	104587	173	23325	9463	2227927	1330	2652	468	1711	941	862	2234	3	0	4	169	1330	2652	948	3265	173	23051	26584
310	958	8004	2364801	104368	170	23495	9011	2236938	1165	2512	893	968	1544	272	1650	2	160	6	4	1165	2512	1552	1926	170	22664	27170
311	921	7393	2373115	103404	169	23664	9109	2246047	586	2311	378	773	1538	208	1481	2	0	0	169	586	2311	1540	1858	169	21710	27623
312	902	6648	2380665	102781	168	23832	8005	2254052	1032	2265	591	822	1443	441	1191	2	0	3	165	1032	2265	1448	1797	168	21294	28091
313	803	5633	2387101	100240	165	23997	8812	2262864	814	2201	814	1275	2135	0	1	4	0	28	166	814	3410	2167	167	194	19941	31334
314	749	5113	2392963	98033	164	24161	7905	2270769	969	2183	968	1860	1443	1	1653	4	0	7	184	969	3303	1454	1838	191	19456	32799
315	761	6057	2399781	97466	167	24328	7218	2277987	991	2162	0	2232	969	991	3676	4	0	6	188	991	3201	979	4855	194	19468	31145
316	752	5683	2406216	97810	159	24487	5932	2283919	1057	2102	196	2145	949	861	3197	4	0	6	180	1057	3094	959	4238	186	19566	30001
317	743	5546	2412505	97833	153	24640	6113	2290032	1399	2074	619	2022	881	780	2954	4	0	6	175	1399	2903	891	3909	181	20074	28995
318	734	5233	2418472	97633	149	24789	6018	2296050	748	2003	7	1934	877	741	2683	4	0	5	171	748	2811	886	3595	176	19936	28211
319	723	5133	2424328	97534	144	24933	5811	2301861	941	1962	177	1876	907	764	2447	3	0	5	169	941	2783	915	3380	174	19962	27614
320	684	4593	2429605	96811	140	25073	5860	2307721	853	1905	187	1785	916	666	2183	3	0	5	166	853	2701	924	3015	171	19891	27300
321	671	4971	2435247	95634	137	25210	6682	2314403	1013	1808	151	1711	941	862	1942	3	0	4	169	1013	2652	948	2973	173	19956	26979
322	681	6422	2442350	94495	134	25344	8108	2322511	454	1791	182	968	1544	272	1434	2	160	6	4	454	2512	1552	1710	170	18858	27781
323	675	6814	2449839	93049	132	25476	8803	2331314	666	1765	458	773	1538	208	1288	2	0	0	169	666	2311	1540	1665	169	17984	28427
324	670	6609	2457118	91297	129	25605	8902	2340216	907	1751	466	822	1443	441	1035	2	0	3	165	907	2265	1448	1641	168	17443	29051
325	664	6248	2464030	89985	131	25736	8093	2348309	539	1740	13	1253	948	526	983	1	17	22	126	539	2201	971	1635	165	17011	29617
326	658	6213	2470901	89627	129	25865	7100	2355409	741	1692	141	1238	945	600	751	1	0	0	164	741	2183	946	1515	164	16806	30285
327	641	5921	2477463	89055	128	25993	7006	2362415	852	1634	271	1179	983	581	500	0	0	0	167	852	2162	983	1248	167	16675	31199
328	636	7083	2485182	88634	124	26117	8016	2370431	892	1615	307	1100	1002	585	177	0	0	0	159	892	2102	1002	921	159	16565	32380
